event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_reward,best_eval
episode,29381,367,14,2,wall,,,3,29381,,,
episode,29516,368,135,2,self,,,3,29516,,,
episode,29547,369,31,2,self,,,3,29547,,,
episode,29631,370,84,2,self,,,3,29631,,,
episode,29735,371,104,2,self,,,3,29735,,,
train,30000,371,,,,1.43,0.08120914835482836,3,30000,,,
eval,30000,371,,,,,,3,,1.0,4.927499999999667,1.0
episode,30053,372,318,2,self,,,3,30053,,,
episode,30398,373,345,5,self,,,5,30398,,,
episode,30617,374,219,2,self,,,5,30617,,,
episode,30783,375,166,2,self,,,5,30783,,,
episode,30915,376,132,2,self,,,5,30915,,,
episode,30954,377,39,2,self,,,5,30954,,,
episode,31254,378,300,0,timeout,,,5,31254,,,
episode,31446,379,192,2,self,,,5,31446,,,
episode,31491,380,45,2,self,,,5,31491,,,
episode,31684,381,193,2,self,,,5,31684,,,
episode,31695,382,11,2,self,,,5,31695,,,
train,32000,382,,,,1.53,0.08779805734753608,5,32000,,,
episode,32103,383,408,1,timeout,,,5,32103,,,
episode,32505,384,402,1,timeout,,,5,32505,,,
episode,32913,385,408,1,timeout,,,5,32913,,,
episode,32946,386,33,2,self,,,5,32946,,,
episode,33024,387,78,2,self,,,5,33024,,,
episode,33169,388,145,2,self,,,5,33169,,,
episode,33267,389,98,3,self,,,5,33267,,,
episode,33482,390,215,2,self,,,5,33482,,,
episode,33557,391,75,2,self,,,5,33557,,,
episode,33605,392,48,2,self,,,5,33605,,,
episode,33905,393,300,0,timeout,,,5,33905,,,
episode,33930,394,25,3,self,,,5,33930,,,
train,34000,394,,,,1.67,0.08725210078060627,5,34000,,,
episode,34081,395,151,2,self,,,5,34081,,,
episode,34133,396,52,3,self,,,5,34133,,,
episode,34289,397,156,2,self,,,5,34289,,,
episode,34323,398,34,2,self,,,5,34323,,,
episode,34336,399,13,2,self,,,5,34336,,,
episode,34350,400,14,2,self,,,5,34350,,,
episode,34423,401,73,2,self,,,5,34423,,,
episode,34505,402,82,3,self,,,5,34505,,,
episode,34518,403,13,2,self,,,5,34518,,,
episode,34542,404,24,2,self,,,5,34542,,,
episode,34601,405,59,2,self,,,5,34601,,,
episode,34748,406,147,2,self,,,5,34748,,,
episode,34857,407,109,2,self,,,5,34857,,,
episode,34942,408,85,3,self,,,5,34942,,,
episode,35080,409,138,2,self,,,5,35080,,,
episode,35104,410,24,2,self,,,5,35104,,,
episode,35118,411,14,2,self,,,5,35118,,,
episode,35193,412,75,2,self,,,5,35193,,,
episode,35225,413,32,2,self,,,5,35225,,,
episode,35262,414,37,2,self,,,5,35262,,,
episode,35296,415,34,2,self,,,5,35296,,,
episode,35329,416,33,2,self,,,5,35329,,,
episode,35403,417,74,2,self,,,5,35403,,,
episode,35533,418,130,2,self,,,5,35533,,,
episode,35628,419,95,2,self,,,5,35628,,,
episode,35744,420,116,4,self,,,5,35744,,,
episode,35802,421,58,3,self,,,5,35802,,,
episode,35858,422,56,2,self,,,5,35858,,,
episode,35874,423,16,2,self,,,5,35874,,,
episode,35892,424,18,2,self,,,5,35892,,,
episode,35987,425,95,7,self,,,7,35987,,,
train,36000,425,,,,2.02,0.10880125891417265,7,36000,,,
episode,36238,426,251,2,self,,,7,36238,,,
episode,36272,427,34,2,self,,,7,36272,,,
episode,36287,428,15,2,self,,,7,36287,,,
episode,36336,429,49,2,self,,,7,36336,,,
episode,36356,430,20,2,self,,,7,36356,,,
episode,36371,431,15,2,self,,,7,36371,,,
episode,36474,432,103,2,self,,,7,36474,,,
episode,36533,433,59,2,self,,,7,36533,,,
episode,36600,434,67,2,self,,,7,36600,,,
episode,36799,435,199,2,self,,,7,36799,,,
episode,36919,436,120,2,wall,,,7,36919,,,
episode,37034,437,115,2,self,,,7,37034,,,
episode,37073,438,39,2,self,,,7,37073,,,
episode,37115,439,42,2,self,,,7,37115,,,
episode,37173,440,58,2,self,,,7,37173,,,
episode,37225,441,52,2,self,,,7,37225,,,
episode,37282,442,57,2,self,,,7,37282,,,
episode,37301,443,19,2,self,,,7,37301,,,
episode,37317,444,16,2,self,,,7,37317,,,
episode,37375,445,58,2,self,,,7,37375,,,
episode,37423,446,48,2,self,,,7,37423,,,
episode,37437,447,14,2,self,,,7,37437,,,
episode,37518,448,81,5,self,,,7,37518,,,
episode,37560,449,42,3,self,,,7,37560,,,
episode,37644,450,84,2,self,,,7,37644,,,
episode,37678,451,34,2,self,,,7,37678,,,
episode,37710,452,32,2,self,,,7,37710,,,
episode,37765,453,55,2,self,,,7,37765,,,
episode,37805,454,40,3,self,,,7,37805,,,
episode,37837,455,32,2,self,,,7,37837,,,
episode,37927,456,90,2,self,,,7,37927,,,
train,38000,456,,,,2.13,0.1303818716853857,7,38000,,,
episode,38274,457,347,2,self,,,7,38274,,,
episode,38344,458,70,2,self,,,7,38344,,,
episode,38376,459,32,2,self,,,7,38376,,,
episode,38421,460,45,2,self,,,7,38421,,,
episode,38830,461,409,1,timeout,,,7,38830,,,
episode,38958,462,128,3,self,,,7,38958,,,
episode,38979,463,21,2,self,,,7,38979,,,
episode,39114,464,135,2,self,,,7,39114,,,
episode,39315,465,201,3,self,,,7,39315,,,
episode,39391,466,76,2,self,,,7,39391,,,
episode,39481,467,90,3,self,,,7,39481,,,
episode,39508,468,27,2,self,,,7,39508,,,
episode,39580,469,72,4,self,,,7,39580,,,
episode,39716,470,136,2,self,,,7,39716,,,
episode,39734,471,18,2,self,,,7,39734,,,
