generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
189,52.6,0.556,35.47866666666666,0.38478666666666667,39.2,1.0,52.6,54.8,0.5780000000000001,47.68,0.08000000000000002,9.21,1357.36,63,0.66
190,53.6,0.5660000000000001,36.516666666666666,0.3951666666666667,40.0,0.2,53.6,54.8,0.5780000000000001,47.68399999999999,0.08000000000000002,9.40,1366.81,63,0.66
191,51.0,0.54,35.911333333333324,0.38911333333333337,38.5,0.6,51.0,54.8,0.5780000000000001,47.16,0.08000000000000002,9.39,1376.24,62,0.65
192,50.6,0.5359999999999999,35.038666666666664,0.38038666666666665,38.4,0.4,50.6,54.8,0.5780000000000001,47.395999999999994,0.08000000000000002,9.48,1385.76,61,0.64
193,53.4,0.5639999999999998,36.21,0.39210000000000006,39.3,0.2,53.4,54.8,0.5780000000000001,47.784,0.08000000000000002,9.39,1395.18,65,0.68
194,53.4,0.5640000000000001,35.414,0.38414000000000004,39.8,0.4,53.4,54.8,0.5780000000000001,47.24799999999999,0.08000000000000002,9.45,1404.66,61,0.64
195,53.6,0.5660000000000001,35.184000000000005,0.38184,38.9,0.2,53.6,54.8,0.5780000000000001,47.3,0.08000000000000002,9.32,1414.01,60,0.63
196,50.4,0.534,34.204,0.37204000000000004,38.6,0.4,50.4,54.8,0.5780000000000001,47.104000000000006,0.08000000000000002,9.28,1423.32,60,0.63
197,52.4,0.554,35.132,0.38132,39.7,0.0,52.4,54.8,0.5780000000000001,47.79600000000001,0.08000000000000002,9.11,1432.46,64,0.67
198,51.2,0.542,35.848000000000006,0.38848,39.6,0.0,51.2,54.8,0.5780000000000001,47.56000000000001,0.08000000000000002,9.22,1441.72,65,0.68
199,52.6,0.5559999999999999,34.934000000000005,0.37934000000000007,39.2,0.0,52.6,54.8,0.5780000000000001,47.79600000000001,0.08000000000000002,9.37,1451.12,59,0.62
200,51.6,0.546,34.72866666666666,0.3772866666666667,39.0,0.2,51.6,54.8,0.5780000000000001,47.61600000000001,0.08000000000000002,9.25,1460.41,60,0.63
201,52.2,0.552,35.70066666666667,0.38700666666666667,40.4,0.0,52.2,54.8,0.5780000000000001,48.20399999999999,0.08000000000000002,9.74,1470.19,58,0.61
202,51.4,0.544,34.76733333333333,0.37767333333333336,39.6,0.2,51.4,54.8,0.5780000000000001,47.69200000000001,0.08000000000000002,10.05,1480.28,59,0.62
203,52.4,0.554,36.486666666666665,0.3948666666666667,40.8,0.0,52.4,54.8,0.5780000000000001,48.87999999999999,0.08000000000000002,9.82,1490.13,60,0.63
204,53.8,0.568,34.84733333333334,0.37847333333333333,40.3,0.0,53.8,54.8,0.5780000000000001,48.38799999999999,0.08000000000000002,9.32,1499.48,62,0.65
205,52.2,0.552,34.90533333333333,0.37905333333333335,40.0,0.0,52.2,54.8,0.5780000000000001,48.02,0.08000000000000002,9.08,1508.59,64,0.67
206,52.2,0.5519999999999999,36.618,0.39618000000000003,41.0,0.0,52.2,54.8,0.5780000000000001,48.395999999999994,0.08000000000000002,9.48,1518.09,63,0.66
207,53.4,0.564,38.306,0.41306000000000004,42.1,0.0,53.4,54.8,0.5780000000000001,48.62,0.08000000000000002,9.82,1527.94,61,0.64
208,52.2,0.5519999999999999,36.056666666666665,0.3905666666666666,40.2,0.2,52.2,54.8,0.5780000000000001,48.52799999999999,0.08000000000000002,9.65,1537.62,62,0.65
209,54.8,0.5780000000000001,36.16199999999999,0.39162,40.4,0.0,54.8,54.8,0.5780000000000001,48.576,0.08000000000000002,9.93,1547.57,61,0.64
210,52.8,0.558,34.65933333333333,0.37659333333333334,39.9,0.0,52.8,54.8,0.5780000000000001,48.268,0.08000000000000002,8.79,1556.39,62,0.65
211,52.6,0.556,35.272,0.38272,40.3,0.0,52.6,54.8,0.5780000000000001,47.968,0.08000000000000002,9.16,1565.57,62,0.65
212,54.8,0.5780000000000001,37.28866666666667,0.4028866666666666,41.1,0.0,54.8,54.8,0.5780000000000001,48.19200000000001,0.08000000000000002,9.47,1575.07,62,0.65
213,52.4,0.554,35.62199999999999,0.38622000000000006,40.6,0.2,52.4,54.8,0.5780000000000001,48.227999999999994,0.08000000000000002,9.29,1584.39,61,0.64
214,52.0,0.55,34.413333333333334,0.3741333333333334,39.3,0.0,52.0,54.8,0.5780000000000001,48.34800000000001,0.08000000000000002,8.80,1593.22,61,0.64
215,53.6,0.566,36.651999999999994,0.39652,40.8,0.0,53.6,54.8,0.5780000000000001,48.891999999999996,0.08000000000000002,9.03,1602.28,64,0.67
216,54.6,0.576,37.068,0.40068000000000004,40.7,0.0,54.6,54.8,0.5780000000000001,48.6,0.08000000000000002,9.67,1611.98,62,0.65
217,51.6,0.546,36.995999999999995,0.39996000000000004,41.3,0.0,51.6,54.8,0.5780000000000001,48.87200000000001,0.08000000000000002,9.16,1621.17,63,0.66
218,52.4,0.554,36.895333333333326,0.3989533333333334,41.4,0.0,52.4,54.8,0.5780000000000001,48.676,0.08000000000000002,9.28,1630.49,65,0.68
219,54.0,0.5700000000000001,37.26733333333333,0.4026733333333333,41.5,0.2,54.0,54.8,0.5780000000000001,48.832,0.08000000000000002,9.34,1639.86,64,0.67
220,53.2,0.562,36.23466666666667,0.3923466666666667,41.2,0.0,53.2,54.8,0.5780000000000001,49.01200000000001,0.08000000000000002,9.38,1649.27,65,0.68
221,53.6,0.566,38.134,0.41134,42.6,0.0,53.6,54.8,0.5780000000000001,49.248000000000005,0.08000000000000002,9.63,1658.94,64,0.67
222,55.2,0.582,38.336,0.41336,42.3,0.4,55.2,55.2,0.582,49.5,0.08000000000000002,9.35,1668.32,69,0.72
223,53.0,0.5599999999999999,38.25866666666668,0.4125866666666667,41.8,0.4,53.0,55.2,0.582,48.903999999999996,0.08000000000000002,9.35,1677.70,64,0.67
224,54.8,0.5780000000000001,36.61933333333333,0.39619333333333334,40.8,0.2,54.8,55.2,0.582,48.64,0.08000000000000002,9.09,1686.82,62,0.65
225,52.2,0.552,36.483333333333334,0.39483333333333337,41.0,0.0,52.2,55.2,0.582,48.327999999999996,0.08000000000000002,9.42,1696.27,69,0.72
226,53.2,0.562,34.262,0.37262,38.8,0.0,53.2,55.2,0.582,48.776,0.08000000000000002,8.80,1705.10,62,0.65
227,53.6,0.5660000000000001,35.174,0.38174,40.4,0.0,53.6,55.2,0.582,49.148,0.08000000000000002,9.00,1714.14,62,0.65
228,55.8,0.5880000000000001,33.678,0.36678,37.8,0.0,55.8,55.8,0.5880000000000001,48.964,0.08000000000000002,8.80,1722.97,63,0.66
229,54.6,0.576,34.48733333333334,0.37487333333333334,40.2,0.0,54.6,55.8,0.5880000000000001,48.876000000000005,0.08000000000000002,8.98,1731.97,61,0.64
