event,step,episodes,episode_steps,episode_score,death_reason,episode_length,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_avg_length,eval_max_length,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,4276,172,18,0,wall,2,,,3,4276,,,,,,,,,,
episode,4280,173,4,0,wall,2,,,3,4280,,,,,,,,,,
episode,4330,174,50,0,timeout,2,,,3,4330,,,,,,,,,,
episode,4380,175,50,0,timeout,2,,,3,4380,,,,,,,,,,
episode,4383,176,3,0,wall,2,,,3,4383,,,,,,,,,,
episode,4384,177,1,0,wall,2,,,3,4384,,,,,,,,,,
episode,4385,178,1,0,wall,2,,,3,4385,,,,,,,,,,
episode,4401,179,16,0,wall,2,,,3,4401,,,,,,,,,,
episode,4451,180,50,0,timeout,2,,,3,4451,,,,,,,,,,
episode,4452,181,1,0,wall,2,,,3,4452,,,,,,,,,,
episode,4502,182,50,0,timeout,2,,,3,4502,,,,,,,,,,
episode,4504,183,2,0,wall,2,,,3,4504,,,,,,,,,,
episode,4517,184,13,0,wall,2,,,3,4517,,,,,,,,,,
episode,4567,185,50,0,timeout,2,,,3,4567,,,,,,,,,,
episode,4572,186,5,0,wall,2,,,3,4572,,,,,,,,,,
episode,4578,187,6,0,wall,2,,,3,4578,,,,,,,,,,
episode,4628,188,50,0,timeout,2,,,3,4628,,,,,,,,,,
episode,4667,189,39,1,wall,3,,,3,4667,,,,,,,,,,
episode,4671,190,4,0,wall,2,,,3,4671,,,,,,,,,,
episode,4682,191,11,0,wall,2,,,3,4682,,,,,,,,,,
episode,4732,192,50,0,timeout,2,,,3,4732,,,,,,,,,,
episode,4753,193,21,0,wall,2,,,3,4753,,,,,,,,,,
episode,4769,194,16,0,wall,2,,,3,4769,,,,,,,,,,
episode,4823,195,54,4,self,6,,,4,4823,,,,,,,,,,
episode,4824,196,1,0,wall,2,,,4,4824,,,,,,,,,,
episode,4874,197,50,0,timeout,2,,,4,4874,,,,,,,,,,
episode,4893,198,19,0,wall,2,,,4,4893,,,,,,,,,,
episode,4894,199,1,0,wall,2,,,4,4894,,,,,,,,,,
episode,4901,200,7,0,wall,2,,,4,4901,,,,,,,,,,
episode,4942,201,41,0,wall,2,,,4,4942,,,,,,,,,,
episode,4992,202,50,0,timeout,2,,,4,4992,,,,,,,,,,
episode,5041,203,49,0,wall,2,,,4,5041,,,,,,,,,,
episode,5044,204,3,0,wall,2,,,4,5044,,,,,,,,,,
episode,5046,205,2,0,wall,2,,,4,5046,,,,,,,,,,
episode,5053,206,7,0,wall,2,,,4,5053,,,,,,,,,,
episode,5063,207,10,0,wall,2,,,4,5063,,,,,,,,,,
episode,5080,208,17,0,wall,2,,,4,5080,,,,,,,,,,
episode,5124,209,44,0,wall,2,,,4,5124,,,,,,,,,,
episode,5127,210,3,0,wall,2,,,4,5127,,,,,,,,,,
episode,5177,211,50,0,timeout,2,,,4,5177,,,,,,,,,,
episode,5227,212,50,0,timeout,2,,,4,5227,,,,,,,,,,
episode,5232,213,5,0,wall,2,,,4,5232,,,,,,,,,,
episode,5233,214,1,0,wall,2,,,4,5233,,,,,,,,,,
